transaction_id,merchant_id,transaction_timestamp,transaction_amount,merchant_avg_amount,merchant_std_amount,hour_of_day,is_weekend,time_since_last_tx_sec,merchant_age_days,is_early_lifecycle_tx,payment_method,merchant_failure_rate_7d
t_0046da5ade5e,m_9112550cdc,2024-03-17 00:00:00.0000000,25003.00,43241.224000,21958.4282653587,0,1,86400,54,0,card,0.000000000000
t_0048ca53b0eb,m_aef8f92b52,2024-04-09 00:00:00.0000000,36846.00,40039.271317,22582.2889194137,0,0,86400,51,0,ussd,0.000000000000
t_004d4e75ab82,m_65c3e0b150,2024-06-21 00:00:00.0000000,49475.00,39853.985294,22977.8345882286,0,0,86400,126,0,card,0.000000000000
t_004e26fa3a63,m_29ca273889,2024-03-01 00:00:00.0000000,21184.00,41348.680952,21345.124884328,0,0,86400,32,0,bank,0.000000000000
t_004f9e59b127,m_3a67f3c3c3,2024-04-18 00:00:00.0000000,7189.00,42172.390243,23743.8312271609,0,0,432000,68,0,ussd,0.000000000000
t_0057235d8cbd,m_da065a694d,2024-03-13 00:00:00.0000000,49646.00,41193.751445,21704.3823605505,0,0,86400,60,0,bank,0.000000000000
t_00595558ef99,m_7b0b332148,2024-05-02 00:00:00.0000000,30273.00,44626.854166,20478.0035107622,0,0,86400,84,0,card,0.000000000000
t_005e423c7525,m_729489e917,2024-05-01 00:00:00.0000000,35776.00,41888.717391,22074.908187717,0,0,86400,94,0,card,0.000000000000
t_00611d13487a,m_1a2b51f33c,2024-03-23 00:00:00.0000000,46477.00,41227.583011,22729.2990408297,0,1,86400,67,0,card,0.000000000000
t_0061e0abd56c,m_af105d17e0,2024-03-06 00:00:00.0000000,8703.00,43883.777777,24636.9837884925,0,0,86400,11,1,bank,0.000000000000
t_0062ebf14a70,m_045d08bf26,2024-05-19 00:00:00.0000000,50937.00,38369.122448,22526.8540400998,0,1,86400,103,0,bank,0.000000000000
t_00632881fa61,m_5817aa64f6,2024-04-04 00:00:00.0000000,47320.00,39653.935483,23519.1385585518,0,0,0,56,0,card,0.000000000000
t_0069456f368a,m_66e80bba52,2024-05-01 00:00:00.0000000,12286.00,39653.072243,22096.3990401278,0,0,86400,109,0,card,0.000000000000
t_00697c2ac1a5,m_64355aa980,2024-03-12 00:00:00.0000000,4274.00,37760.733333,26386.6365243217,0,0,86400,12,1,ussd,0.000000000000
t_006a570da53a,m_29ca273889,2024-07-13 00:00:00.0000000,65814.00,41348.680952,21345.124884328,0,1,0,166,0,ussd,0.000000000000
t_006ca96ca7e9,m_f969e9850d,2024-04-16 00:00:00.0000000,72333.00,38498.351851,22714.6815276614,0,0,0,98,0,ussd,0.000000000000
t_006e870fd73c,m_75d0daff2b,2024-04-18 00:00:00.0000000,46180.00,38357.492307,21315.6640386852,0,0,172800,106,0,card,0.000000000000
t_006ea3a1177a,m_1a2b51f33c,2024-03-24 00:00:00.0000000,49529.00,41227.583011,22729.2990408297,0,1,86400,68,0,ussd,0.000000000000
t_007d198ba2ad,m_570ff787b5,2024-05-13 00:00:00.0000000,67327.00,40998.000000,23498.0985032668,0,0,86400,115,0,bank,0.000000000000
t_00832f353ae5,m_b97ad0826f,2024-03-17 00:00:00.0000000,42582.00,41019.527131,21757.0399627043,0,1,86400,59,0,card,0.000000000000
t_0086fe28f6f9,m_a4de45f48a,2024-05-08 00:00:00.0000000,2899.00,40946.105527,21973.9599499669,0,0,86400,70,0,ussd,0.000000000000
t_00875e31861e,m_1c52d68aa6,2024-02-28 00:00:00.0000000,36843.00,41872.268518,22363.6885425077,0,0,NULL,1,1,card,0.000000000000
t_008997514d64,m_9934f53be6,2024-04-07 00:00:00.0000000,65556.00,44262.259475,22762.8780152629,0,1,0,72,0,ussd,0.000000000000
t_008b1b140b00,m_81efeda3e4,2024-03-06 00:00:00.0000000,40463.00,41660.933579,22999.9546703905,0,0,0,41,0,card,0.000000000000
t_008da35ae433,m_c0ddf20c04,2024-04-16 00:00:00.0000000,67865.00,43375.701657,21527.8002545403,0,0,0,61,0,bank,0.000000000000
t_009b431a0211,m_7902fd912b,2024-02-28 00:00:00.0000000,33613.00,43963.000000,21525.1760802488,0,0,2073600,34,0,bank,0.000000000000
t_009de8bd59c4,m_a4de45f48a,2024-04-07 00:00:00.0000000,55982.00,40946.105527,21973.9599499669,0,1,86400,39,0,card,0.000000000000
t_009e55cfc1fc,m_65c3e0b150,2024-07-15 00:00:00.0000000,15698.00,39853.985294,22977.8345882286,0,0,0,150,0,bank,0.000000000000
t_00a0679d83e4,m_72932eece9,2024-04-29 00:00:00.0000000,10146.00,38692.464285,20730.2630619315,0,0,86400,117,0,ussd,0.000000000000
t_00a122b2f761,m_81efeda3e4,2024-03-26 00:00:00.0000000,31237.00,41660.933579,22999.9546703905,0,0,86400,61,0,card,0.000000000000
t_00a447e8f3b7,m_a4de45f48a,2024-06-04 00:00:00.0000000,8243.00,40946.105527,21973.9599499669,0,0,0,97,0,ussd,0.000000000000
t_00a7e7f295bd,m_17210dcac4,2024-03-05 00:00:00.0000000,7505.00,39008.690322,23308.4411265025,0,0,0,10,1,card,0.000000000000
t_00a949418be5,m_8ae2078642,2024-03-19 00:00:00.0000000,23767.00,43758.251748,21972.184714299,0,0,86400,22,0,card,0.000000000000
t_00ac6a2e90a9,m_fe5fc2e5e8,2024-05-02 00:00:00.0000000,77993.00,45270.555555,23788.5933285989,0,0,259200,74,0,bank,0.000000000000
t_00ac6e85b68a,m_72932eece9,2024-04-27 00:00:00.0000000,12619.00,38692.464285,20730.2630619315,0,1,86400,115,0,ussd,0.000000000000
t_00ae22665ca0,m_66d24572cc,2024-07-03 00:00:00.0000000,22666.00,41352.662116,23324.7117931033,0,0,0,171,0,bank,0.000000000000
t_00b1fe6b540d,m_9934f53be6,2024-05-19 00:00:00.0000000,46867.00,44262.259475,22762.8780152629,0,1,0,114,0,bank,0.000000000000
t_00b28c9667c0,m_9112550cdc,2024-03-28 00:00:00.0000000,17432.00,43241.224000,21958.4282653587,0,0,0,65,0,bank,0.000000000000
t_00bc25fc7aa9,m_045d08bf26,2024-03-14 00:00:00.0000000,20127.00,38369.122448,22526.8540400998,0,0,86400,37,0,card,0.000000000000
t_00bcc9e3638e,m_29df738521,2024-03-08 00:00:00.0000000,32875.00,39794.748427,22725.2234685559,0,0,0,41,0,card,0.000000000000
t_00bce70446a6,m_5817aa64f6,2024-03-15 00:00:00.0000000,5679.00,39653.935483,23519.1385585518,0,0,0,36,0,card,0.000000000000
t_00bda1ac9940,m_9dafa16a2f,2024-04-12 00:00:00.0000000,26932.00,40804.456521,21076.4840634259,0,0,86400,78,0,card,0.000000000000
t_00beb493874b,m_0a33294aa4,2024-04-17 00:00:00.0000000,76310.00,35012.595121,22136.3511536792,0,0,86400,69,0,bank,0.000000000000
t_00c1fd7cb97c,m_e40d65ded4,2024-03-11 00:00:00.0000000,37393.00,40606.832861,23824.5639280384,0,0,86400,23,0,bank,0.058823529411
t_00c648ae4ff0,m_12872df906,2024-01-24 00:00:00.0000000,47166.00,39013.208333,19901.0297460888,0,0,NULL,11,1,ussd,0.000000000000
t_00c88b269a5b,m_f969e9850d,2024-03-05 00:00:00.0000000,43598.00,38498.351851,22714.6815276614,0,0,86400,56,0,bank,0.000000000000
t_00c9b03f6ae5,m_1a2b51f33c,2024-06-21 00:00:00.0000000,65332.00,41227.583011,22729.2990408297,0,0,0,157,0,card,0.000000000000
t_00cc18a458f3,m_c4a6136686,2024-03-15 00:00:00.0000000,57419.00,40647.694117,22644.3325591235,0,0,86400,21,0,bank,0.000000000000
t_00cde30bc624,m_4cb0ef01fc,2024-02-28 00:00:00.0000000,64514.00,42477.980769,21771.0774180057,0,0,2073600,33,0,bank,0.000000000000
t_00ced4eaef86,m_cfaad15ce5,2024-04-11 00:00:00.0000000,41883.00,43576.425287,22342.1760347638,0,0,0,96,0,card,0.000000000000
t_00d0f995107d,m_8da4c18fe0,2024-03-04 00:00:00.0000000,37689.00,49421.230769,24804.3769432859,0,0,0,26,0,ussd,0.000000000000
t_00d408b68fa7,m_53e1cf17dd,2024-03-25 00:00:00.0000000,61179.00,41324.647058,24062.4858999122,0,0,259200,33,0,ussd,0.000000000000
t_00e498cc5fec,m_66e80bba52,2024-03-09 00:00:00.0000000,34759.00,39653.072243,22096.3990401278,0,1,0,56,0,bank,0.000000000000
t_00eb0fda0090,m_7ddddf7c98,2024-01-30 00:00:00.0000000,9888.00,34920.324324,25073.2733703241,0,0,NULL,14,1,card,0.000000000000
t_00fdc5de4985,m_c0ddf20c04,2024-02-29 00:00:00.0000000,32173.00,43375.701657,21527.8002545403,0,0,0,14,1,bank,0.000000000000
t_010163db4c61,m_309a636592,2024-04-11 00:00:00.0000000,41300.00,39659.471910,23909.4317069122,0,0,86400,51,0,card,0.000000000000
t_010181fcec6b,m_f5bff98523,2024-03-24 00:00:00.0000000,21006.00,39295.837209,21580.3418469369,0,1,86400,38,0,card,0.000000000000
t_010429b20533,m_29ca273889,2024-10-03 00:00:00.0000000,18244.00,41348.680952,21345.124884328,0,0,86400,248,0,bank,0.000000000000
t_010bae98b816,m_29ca273889,2024-04-23 00:00:00.0000000,57167.00,41348.680952,21345.124884328,0,0,86400,85,0,card,0.000000000000
t_011b466f9b6c,m_7e882ba60b,2024-02-28 00:00:00.0000000,67298.00,48176.388888,23747.2245242381,0,0,0,26,0,bank,0.000000000000
t_011ecf66b037,m_c741fbba85,2024-03-07 00:00:00.0000000,52029.00,40878.302469,23147.3054096545,0,0,86400,30,0,card,0.000000000000
t_01205824254f,m_22b9004798,2024-03-13 00:00:00.0000000,71453.00,44837.842105,21982.5207134698,0,0,86400,22,0,ussd,0.000000000000
t_01270dbd4d59,m_43e41877e5,2024-05-19 00:00:00.0000000,52969.00,37452.388888,21166.4746865706,0,1,86400,131,0,card,0.000000000000
t_01275c48202f,m_1c52d68aa6,2024-04-05 00:00:00.0000000,4303.00,41872.268518,22363.6885425077,0,0,0,38,0,ussd,0.000000000000
t_0127de73fc31,m_02f4599a40,2024-09-12 00:00:00.0000000,78255.00,40254.109979,22640.719827746,0,0,86400,251,0,card,0.000000000000
t_0133de91841e,m_17043e6f5b,2024-03-11 00:00:00.0000000,27491.00,36119.925531,22510.6917742589,0,0,86400,19,0,card,0.000000000000
t_01387a28b466,m_4cb0ef01fc,2024-03-09 00:00:00.0000000,28656.00,42477.980769,21771.0774180057,0,1,0,43,0,ussd,0.000000000000
t_013b6a61ffd3,m_7e882ba60b,2024-02-29 00:00:00.0000000,4871.00,48176.388888,23747.2245242381,0,0,86400,27,0,card,0.000000000000
t_013cb5d63770,m_f6132644ff,2024-04-07 00:00:00.0000000,27989.00,41815.100000,22412.7524104418,0,1,86400,48,0,card,0.000000000000
t_013e239ff4ab,m_29ca273889,2024-06-21 00:00:00.0000000,20872.00,41348.680952,21345.124884328,0,0,86400,144,0,bank,0.000000000000
t_01488d6427e8,m_afc8dce618,2024-04-03 00:00:00.0000000,24440.00,43478.000000,22450.0519534875,0,0,172800,36,0,bank,0.000000000000
t_01517803db5b,m_80a272248c,2024-03-07 00:00:00.0000000,39064.00,36406.476190,23011.905397242,0,0,86400,9,1,bank,0.000000000000
t_01573cfeb38a,m_f5bff98523,2024-05-04 00:00:00.0000000,11334.00,39295.837209,21580.3418469369,0,1,86400,79,0,bank,0.000000000000
t_015deda39782,m_81efeda3e4,2024-06-20 00:00:00.0000000,53697.00,41660.933579,22999.9546703905,0,0,0,147,0,bank,0.000000000000
t_0160093b8821,m_65c3e0b150,2024-04-09 00:00:00.0000000,15057.00,39853.985294,22977.8345882286,0,0,86400,53,0,ussd,0.000000000000
t_0167d446ae28,m_06e4d0ee44,2024-04-11 00:00:00.0000000,55760.00,43448.485106,23007.763915232,0,0,0,90,0,bank,0.000000000000
t_016d54c9c380,m_36ab1e818f,2024-05-07 00:00:00.0000000,25036.00,37112.024390,22353.8200320301,0,0,86400,104,0,card,0.000000000000
t_016e3fc37d5e,m_29df738521,2024-05-01 00:00:00.0000000,38764.00,39794.748427,22725.2234685559,0,0,86400,95,0,bank,0.000000000000
t_0171368d5ca4,m_80a272248c,2024-03-27 00:00:00.0000000,27602.00,36406.476190,23011.905397242,0,0,86400,29,0,card,0.000000000000
t_0174ddfb4ee0,m_c741fbba85,2024-04-21 00:00:00.0000000,20155.00,40878.302469,23147.3054096545,0,1,0,75,0,bank,0.000000000000
t_01823f41f6ad,m_e40d65ded4,2024-04-03 00:00:00.0000000,14363.00,40606.832861,23824.5639280384,0,0,86400,46,0,bank,0.000000000000
t_01832234b65c,m_9112550cdc,2024-03-03 00:00:00.0000000,60024.00,43241.224000,21958.4282653587,0,1,86400,40,0,bank,0.000000000000
t_018988ec4aef,m_06e4d0ee44,2024-05-12 00:00:00.0000000,10728.00,43448.485106,23007.763915232,0,1,86400,121,0,card,0.000000000000
t_019018395ed0,m_afc8dce618,2024-04-24 00:00:00.0000000,7355.00,43478.000000,22450.0519534875,0,0,172800,57,0,ussd,0.000000000000
t_019602bf2323,m_17210dcac4,2024-03-18 00:00:00.0000000,30268.00,39008.690322,23308.4411265025,0,0,0,23,0,bank,0.000000000000
t_019d840048e5,m_5af252200c,2024-08-17 00:00:00.0000000,14105.00,38812.917647,22322.738438861,0,1,172800,182,0,bank,0.000000000000
t_019fafbdfdfc,m_184699b8c1,2024-03-21 00:00:00.0000000,68138.00,41042.231182,23998.4317941548,0,0,86400,48,0,card,0.000000000000
t_019fecf7899b,m_b953dac151,2024-04-20 00:00:00.0000000,32666.00,42771.914728,21872.5079373453,0,1,86400,52,0,card,0.000000000000
t_01a0a0255b7f,m_85083dd0f0,2024-04-08 00:00:00.0000000,45037.00,40013.111111,22865.250926244,0,0,86400,64,0,card,0.000000000000
t_01a2a422c873,m_510e9da692,2024-05-01 00:00:00.0000000,77874.00,40972.540540,24008.6988594118,0,0,86400,86,0,ussd,0.000000000000
t_01a630747f7b,m_990a8f98b1,2024-03-15 00:00:00.0000000,44150.00,35965.511363,22042.5924659637,0,0,86400,73,0,bank,0.000000000000
t_01b194d57ed2,m_afc8dce618,2024-03-01 00:00:00.0000000,50511.00,43478.000000,22450.0519534875,0,0,86400,3,1,bank,0.000000000000
t_01b1ee75975a,m_c39ad39100,2024-05-04 00:00:00.0000000,14237.00,42428.156250,22530.6522800756,0,1,86400,90,0,bank,0.000000000000
t_01b2c46221b5,m_7b4d7a2894,2024-04-03 00:00:00.0000000,59889.00,42859.812182,22761.5701632418,0,0,0,44,0,bank,0.000000000000
t_01bf2daf739a,m_0a33294aa4,2024-02-29 00:00:00.0000000,16332.00,35012.595121,22136.3511536792,0,0,86400,21,0,bank,0.000000000000
t_01c297425fc2,m_9934f53be6,2024-04-18 00:00:00.0000000,48993.00,44262.259475,22762.8780152629,0,0,86400,83,0,ussd,0.000000000000
t_01c46f45a3c7,m_43e41877e5,2024-03-14 00:00:00.0000000,53818.00,37452.388888,21166.4746865706,0,0,172800,65,0,card,0.000000000000
t_01c6cee23bda,m_4053ee70a0,2024-03-19 00:00:00.0000000,13123.00,40320.601694,21760.8896237278,0,0,0,37,0,bank,0.000000000000
t_01c7485abc3d,m_63f3a7cfaa,2024-05-19 00:00:00.0000000,58561.00,41912.507692,22346.7600378528,0,1,86400,139,0,ussd,0.000000000000
t_01c7ea95f175,m_cfaad15ce5,2024-04-11 00:00:00.0000000,12911.00,43576.425287,22342.1760347638,0,0,0,96,0,ussd,0.000000000000
t_01cbfc2edfa6,m_955ef28d6b,2024-03-05 00:00:00.0000000,31778.00,38904.626262,23235.3756382971,0,0,0,37,0,bank,0.000000000000
t_01cec16017bc,m_8ea0fd18f2,2024-04-20 00:00:00.0000000,26646.00,38851.161290,20065.4783414978,0,1,86400,63,0,bank,0.000000000000
t_01d17db752cd,m_66d24572cc,2024-04-10 00:00:00.0000000,2586.00,41352.662116,23324.7117931033,0,0,86400,87,0,card,0.000000000000
t_01d221eb5287,m_e6b154ec9c,2024-03-28 00:00:00.0000000,50379.00,42549.340206,22337.4153812455,0,0,86400,53,0,card,0.000000000000
t_01d526f86917,m_df864e5208,2024-04-15 00:00:00.0000000,39346.00,36410.954545,21735.1361399266,0,0,86400,91,0,bank,0.000000000000
t_01d64be784d2,m_3343cdeae1,2024-03-15 00:00:00.0000000,47510.00,56713.333333,23029.4918758666,0,0,86400,30,0,ussd,0.000000000000
t_01d7f5dacfd0,m_b953dac151,2024-03-11 00:00:00.0000000,35370.00,42771.914728,21872.5079373453,0,0,0,12,1,bank,0.000000000000
t_01d89c4cef47,m_40f0ac96eb,2024-03-30 00:00:00.0000000,46374.00,43517.903614,21017.581049239,0,1,0,67,0,card,0.000000000000
t_01d992d8a22c,m_29ca273889,2024-06-06 00:00:00.0000000,41821.00,41348.680952,21345.124884328,0,0,0,129,0,card,0.000000000000
t_01df58755b55,m_b3b2c91d06,2024-03-20 00:00:00.0000000,55955.00,42289.549019,21253.537349204,0,0,0,50,0,ussd,0.000000000000
t_01ea2f7d6056,m_4053ee70a0,2024-04-07 00:00:00.0000000,33174.00,40320.601694,21760.8896237278,0,1,0,56,0,card,0.000000000000
t_01eb0bd13e47,m_a7948f41f1,2024-03-08 00:00:00.0000000,13552.00,45541.785714,21773.205524146,0,0,172800,65,0,card,0.000000000000
t_01f4d8012ee9,m_e8b8ab65d3,2024-03-21 00:00:00.0000000,48996.00,44074.500000,23484.1172522845,0,0,86400,44,0,ussd,0.000000000000
t_01f5a1169437,m_9112550cdc,2024-04-26 00:00:00.0000000,48007.00,43241.224000,21958.4282653587,0,0,0,94,0,card,0.000000000000
t_01f8f9ee04b4,m_b953dac151,2024-03-24 00:00:00.0000000,16859.00,42771.914728,21872.5079373453,0,1,0,25,0,bank,0.000000000000
t_01feebf636c9,m_0a33294aa4,2024-03-17 00:00:00.0000000,72854.00,35012.595121,22136.3511536792,0,1,0,38,0,card,0.000000000000
t_01ffe6570ea0,m_29ca273889,2024-08-26 00:00:00.0000000,24240.00,41348.680952,21345.124884328,0,0,86400,210,0,card,0.000000000000
t_0201d3479fe0,m_cfaad15ce5,2024-04-01 00:00:00.0000000,30080.00,43576.425287,22342.1760347638,0,0,86400,86,0,bank,0.000000000000
t_02022b025f45,m_29ca273889,2024-09-08 00:00:00.0000000,15011.00,41348.680952,21345.124884328,0,1,0,223,0,bank,0.000000000000
t_020952f9aa5c,m_1169f936bb,2024-04-02 00:00:00.0000000,10199.00,42257.075000,22318.5444677484,0,0,0,40,0,card,0.000000000000
t_020c41e13438,m_70285871e0,2024-03-02 00:00:00.0000000,67064.00,37127.470588,23234.1785499231,0,1,86400,5,1,ussd,0.000000000000
t_020db39341f8,m_6aed2f1bc2,2024-04-05 00:00:00.0000000,53750.00,43723.333333,21342.0002002987,0,0,0,78,0,ussd,0.000000000000
t_021ade48c4f0,m_66e80bba52,2024-03-14 00:00:00.0000000,29154.00,39653.072243,22096.3990401278,0,0,0,61,0,bank,0.000000000000
t_021c0abd67df,m_c741fbba85,2024-03-15 00:00:00.0000000,37968.00,40878.302469,23147.3054096545,0,0,0,38,0,card,0.000000000000
t_021c78cad6e6,m_36ab1e818f,2024-05-10 00:00:00.0000000,47766.00,37112.024390,22353.8200320301,0,0,172800,107,0,ussd,0.000000000000
t_022b923435bb,m_d2864589de,2024-06-29 00:00:00.0000000,26434.00,41319.900990,22784.1370903113,0,1,86400,140,0,ussd,0.000000000000
t_022baa049342,m_02f4599a40,2024-04-02 00:00:00.0000000,62293.00,40254.109979,22640.719827746,0,0,0,88,0,card,0.000000000000
t_022dbaa7e05f,m_990a8f98b1,2024-07-14 00:00:00.0000000,3698.00,35965.511363,22042.5924659637,0,1,518400,194,0,bank,0.000000000000
t_022dc70bd86f,m_4cb0ef01fc,2024-03-11 00:00:00.0000000,39497.00,42477.980769,21771.0774180057,0,0,86400,45,0,bank,0.000000000000
t_023250fa2344,m_fe15c360c7,2024-04-01 00:00:00.0000000,7837.00,40552.071428,22689.7293023294,0,0,172800,47,0,card,0.000000000000
t_0234dc54e39e,m_e093912b8d,2024-03-10 00:00:00.0000000,3468.00,40775.758928,23074.6251767926,0,1,86400,10,1,card,0.000000000000
t_0234f0a73c52,m_7f7d8e35d9,2024-03-21 00:00:00.0000000,33969.00,45256.117187,24006.6943408528,0,0,172800,51,0,card,0.000000000000
t_02352748e70a,m_aea08a10c1,2024-03-14 00:00:00.0000000,34963.00,39708.333333,23958.9347510651,0,0,86400,26,0,bank,0.000000000000
t_023697098ee6,m_29ca273889,2024-07-03 00:00:00.0000000,73864.00,41348.680952,21345.124884328,0,0,0,156,0,ussd,0.000000000000
t_0239f0a114b5,m_23c3c28070,2024-05-13 00:00:00.0000000,25237.00,40759.809248,22188.4157863681,0,0,0,93,0,card,0.000000000000
t_0246a1e895c3,m_f5bff98523,2024-03-26 00:00:00.0000000,29641.00,39295.837209,21580.3418469369,0,0,0,40,0,ussd,0.000000000000
t_0249bccf1f2b,m_677a0b5879,2024-03-21 00:00:00.0000000,5816.00,37068.625000,22059.0782054762,0,0,86400,54,0,bank,0.000000000000
t_024a2d163600,m_fe5fc2e5e8,2024-05-05 00:00:00.0000000,48266.00,45270.555555,23788.5933285989,0,1,86400,77,0,ussd,0.000000000000
t_024a6a84e8ab,m_65c3e0b150,2024-05-13 00:00:00.0000000,54879.00,39853.985294,22977.8345882286,0,0,0,87,0,card,0.000000000000
t_024f4eaf413b,m_aa052e5b6f,2024-03-28 00:00:00.0000000,29133.00,38837.712328,22825.380314149,0,0,0,86,0,card,0.000000000000
t_0251fba6b554,m_9213804792,2024-03-12 00:00:00.0000000,3191.00,36155.333333,33136.0585626394,0,0,172800,18,0,bank,0.000000000000
t_0253790d48b3,m_d926a4e4b8,2024-03-21 00:00:00.0000000,76254.00,47826.000000,25219.9758739195,0,0,259200,28,0,card,0.000000000000
t_0253b01ae380,m_a0ecbb09ce,2024-06-18 00:00:00.0000000,52873.00,43762.011111,23730.0233892859,0,0,172800,137,0,bank,0.000000000000
t_0255f6d65b00,m_e40d65ded4,2024-03-13 00:00:00.0000000,19276.00,40606.832861,23824.5639280384,0,0,86400,25,0,bank,0.000000000000
t_025c3da27a74,m_a65d049a77,2024-03-02 00:00:00.0000000,64771.00,41228.620087,23564.5728265923,0,1,0,21,0,bank,0.000000000000
t_025d0a75f352,m_87be9b1af6,2024-02-28 00:00:00.0000000,33848.00,42476.800000,17927.9812283519,0,0,0,14,1,card,0.333333333333
t_025d471983a5,m_e093912b8d,2024-04-10 00:00:00.0000000,78407.00,40775.758928,23074.6251767926,0,0,0,41,0,ussd,0.000000000000
t_0262af42cc14,m_3095be967f,2024-03-17 00:00:00.0000000,71078.00,40794.200000,21630.7942635446,0,1,86400,42,0,card,0.000000000000
t_02756974b098,m_29df738521,2024-05-02 00:00:00.0000000,41720.00,39794.748427,22725.2234685559,0,0,86400,96,0,ussd,0.000000000000
t_0275e99cd929,m_0f9baa1676,2024-06-02 00:00:00.0000000,77298.00,42319.967914,23075.1798103186,0,1,0,128,0,ussd,0.000000000000
