merchant_id,signup_timestamp,first_test_txn_timestamp,first_live_txn_timestamp,is_activated,days_signup_to_test,days_signup_to_live,days_test_to_live
m_10ed12ff38,2024-02-26 00:00:00.0000000,2024-02-28 00:00:00.0000000,NULL,0,2,NULL,NULL
m_1144dcadf3,2024-01-09 00:00:00.0000000,2024-01-11 00:00:00.0000000,NULL,0,2,NULL,NULL
m_11548884d3,2024-01-12 00:00:00.0000000,2024-01-14 00:00:00.0000000,NULL,0,2,NULL,NULL
m_1169f936bb,2024-02-22 00:00:00.0000000,2024-02-24 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,6,4
m_11c30dc2e9,2024-02-02 00:00:00.0000000,2024-02-04 00:00:00.0000000,2024-02-17 00:00:00.0000000,1,2,15,13
m_11eedabd9a,2024-01-29 00:00:00.0000000,2024-01-31 00:00:00.0000000,NULL,0,2,NULL,NULL
m_12077ff851,2024-01-12 00:00:00.0000000,2024-01-14 00:00:00.0000000,NULL,0,2,NULL,NULL
m_12872df906,2024-01-13 00:00:00.0000000,2024-01-15 00:00:00.0000000,2024-01-24 00:00:00.0000000,1,2,11,9
m_1382df1f71,2024-02-05 00:00:00.0000000,2024-02-07 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,23,21
m_13e6f888f3,2024-02-08 00:00:00.0000000,2024-02-10 00:00:00.0000000,NULL,0,2,NULL,NULL
m_14360d6599,2024-01-30 00:00:00.0000000,2024-02-01 00:00:00.0000000,NULL,0,2,NULL,NULL
m_14591d2f1b,2024-01-25 00:00:00.0000000,2024-01-27 00:00:00.0000000,2024-02-11 00:00:00.0000000,1,2,17,15
m_1521b5045d,2024-01-04 00:00:00.0000000,2024-01-06 00:00:00.0000000,2024-01-11 00:00:00.0000000,1,2,7,5
m_15500f6be3,2024-01-11 00:00:00.0000000,2024-01-13 00:00:00.0000000,NULL,0,2,NULL,NULL
m_158980f675,2024-02-08 00:00:00.0000000,2024-02-10 00:00:00.0000000,NULL,0,2,NULL,NULL
m_15ba2b6121,2024-02-27 00:00:00.0000000,2024-02-29 00:00:00.0000000,NULL,0,2,NULL,NULL
m_15f67e1c85,2024-02-11 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_16589a1b00,2024-02-25 00:00:00.0000000,2024-02-27 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,3,1
m_169330386a,2024-02-17 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_16e1660a09,2024-02-16 00:00:00.0000000,2024-02-18 00:00:00.0000000,2024-02-25 00:00:00.0000000,1,2,9,7
m_17043e6f5b,2024-02-21 00:00:00.0000000,2024-02-23 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,7,5
m_17210dcac4,2024-02-24 00:00:00.0000000,2024-02-26 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,4,2
m_1741929e5d,2024-01-24 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_181a0b1326,2024-02-05 00:00:00.0000000,2024-02-07 00:00:00.0000000,NULL,0,2,NULL,NULL
m_181b8476e0,2024-02-01 00:00:00.0000000,2024-02-03 00:00:00.0000000,2024-02-13 00:00:00.0000000,1,2,12,10
m_184699b8c1,2024-02-02 00:00:00.0000000,2024-02-04 00:00:00.0000000,2024-02-10 00:00:00.0000000,1,2,8,6
m_1878e4770b,2024-01-25 00:00:00.0000000,2024-01-27 00:00:00.0000000,NULL,0,2,NULL,NULL
m_1a2b51f33c,2024-01-16 00:00:00.0000000,2024-01-18 00:00:00.0000000,2024-01-31 00:00:00.0000000,1,2,15,13
m_1a68c4cbb4,2024-02-16 00:00:00.0000000,2024-02-18 00:00:00.0000000,2024-02-27 00:00:00.0000000,1,2,11,9
m_1ac3590983,2024-02-08 00:00:00.0000000,2024-02-10 00:00:00.0000000,2024-02-18 00:00:00.0000000,1,2,10,8
m_1b57c603d7,2024-01-04 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_1bf89bce1c,2024-02-05 00:00:00.0000000,2024-02-07 00:00:00.0000000,2024-02-20 00:00:00.0000000,1,2,15,13
m_1c18ca4f64,2024-02-22 00:00:00.0000000,2024-02-24 00:00:00.0000000,2024-03-01 00:00:00.0000000,1,2,8,6
m_1c2af2ea45,2024-02-20 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_1c52d68aa6,2024-02-27 00:00:00.0000000,2024-02-29 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,1,-1
m_1c7cdae480,2024-02-13 00:00:00.0000000,2024-02-15 00:00:00.0000000,NULL,0,2,NULL,NULL
m_1cc1fdcdd0,2024-01-23 00:00:00.0000000,2024-01-25 00:00:00.0000000,NULL,0,2,NULL,NULL
m_1ceb4d525d,2024-01-31 00:00:00.0000000,2024-02-02 00:00:00.0000000,2024-02-10 00:00:00.0000000,1,2,10,8
m_1daaab45fa,2024-01-21 00:00:00.0000000,2024-01-23 00:00:00.0000000,NULL,0,2,NULL,NULL
m_1dbd6a0f4a,2024-01-25 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_1ddf35afa4,2024-01-10 00:00:00.0000000,2024-01-12 00:00:00.0000000,NULL,0,2,NULL,NULL
m_1e989cf3ea,2024-02-27 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_1e9dec1386,2024-01-07 00:00:00.0000000,2024-01-09 00:00:00.0000000,NULL,0,2,NULL,NULL
m_1ee8da2274,2024-02-01 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_1f58404bdf,2024-01-08 00:00:00.0000000,2024-01-10 00:00:00.0000000,NULL,0,2,NULL,NULL
m_1fa3a2c0aa,2024-01-03 00:00:00.0000000,2024-01-05 00:00:00.0000000,2024-01-15 00:00:00.0000000,1,2,12,10
m_1fd1bf0a2b,2024-01-22 00:00:00.0000000,2024-01-24 00:00:00.0000000,2024-02-01 00:00:00.0000000,1,2,10,8
m_2051e1ad5b,2024-02-02 00:00:00.0000000,2024-02-04 00:00:00.0000000,2024-02-20 00:00:00.0000000,1,2,18,16
m_217d21793a,2024-02-24 00:00:00.0000000,2024-02-26 00:00:00.0000000,NULL,0,2,NULL,NULL
m_21867232fa,2024-01-06 00:00:00.0000000,2024-01-08 00:00:00.0000000,NULL,0,2,NULL,NULL
m_223fd438d3,2024-01-18 00:00:00.0000000,2024-01-20 00:00:00.0000000,NULL,0,2,NULL,NULL
m_22833a3a43,2024-02-13 00:00:00.0000000,2024-02-15 00:00:00.0000000,2024-02-23 00:00:00.0000000,1,2,10,8
m_22b9004798,2024-02-20 00:00:00.0000000,2024-02-22 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,8,6
m_23584e377a,2024-02-18 00:00:00.0000000,2024-02-20 00:00:00.0000000,2024-02-27 00:00:00.0000000,1,2,9,7
m_2364b72971,2024-01-02 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_237772a721,2024-01-15 00:00:00.0000000,2024-01-17 00:00:00.0000000,2024-02-02 00:00:00.0000000,1,2,18,16
m_2378f14fce,2024-01-24 00:00:00.0000000,2024-01-26 00:00:00.0000000,NULL,0,2,NULL,NULL
m_23b4668299,2024-01-19 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_23c3c28070,2024-02-10 00:00:00.0000000,2024-02-12 00:00:00.0000000,2024-02-17 00:00:00.0000000,1,2,7,5
m_2414ba1714,2024-01-12 00:00:00.0000000,2024-01-14 00:00:00.0000000,2024-01-22 00:00:00.0000000,1,2,10,8
m_2472aa89db,2024-02-26 00:00:00.0000000,2024-02-28 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,2,0
m_249f5dfd43,2024-02-08 00:00:00.0000000,2024-02-10 00:00:00.0000000,NULL,0,2,NULL,NULL
m_24a7092178,2024-01-24 00:00:00.0000000,2024-01-26 00:00:00.0000000,NULL,0,2,NULL,NULL
m_24c4fe5068,2024-02-24 00:00:00.0000000,2024-02-26 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,4,2
m_24c6aea3fc,2024-01-24 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_250c027d7e,2024-02-20 00:00:00.0000000,2024-02-22 00:00:00.0000000,2024-03-03 00:00:00.0000000,1,2,12,10
m_250c87aa54,2024-02-15 00:00:00.0000000,2024-02-17 00:00:00.0000000,2024-02-22 00:00:00.0000000,1,2,7,5
m_260ea9a310,2024-02-13 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_2616e6dd1e,2024-01-01 00:00:00.0000000,2024-01-03 00:00:00.0000000,NULL,0,2,NULL,NULL
m_26247f35f0,2024-01-01 00:00:00.0000000,2024-01-03 00:00:00.0000000,2024-01-15 00:00:00.0000000,1,2,14,12
m_264dd5a676,2024-02-13 00:00:00.0000000,2024-02-15 00:00:00.0000000,NULL,0,2,NULL,NULL
m_26d81405de,2024-02-27 00:00:00.0000000,2024-02-29 00:00:00.0000000,NULL,0,2,NULL,NULL
m_27628ff0c5,2024-01-07 00:00:00.0000000,2024-01-09 00:00:00.0000000,NULL,0,2,NULL,NULL
m_282750b3a4,2024-01-16 00:00:00.0000000,2024-01-18 00:00:00.0000000,2024-01-28 00:00:00.0000000,1,2,12,10
m_28691cd760,2024-02-19 00:00:00.0000000,2024-02-21 00:00:00.0000000,NULL,0,2,NULL,NULL
m_28a4e23781,2024-01-21 00:00:00.0000000,2024-01-23 00:00:00.0000000,2024-02-06 00:00:00.0000000,1,2,16,14
m_28d3955fa3,2024-02-02 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_292333b8ef,2024-02-28 00:00:00.0000000,2024-03-01 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,0,-2
m_293d02a872,2024-01-07 00:00:00.0000000,2024-01-09 00:00:00.0000000,NULL,0,2,NULL,NULL
m_2946032d52,2024-02-23 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_2988f6eef7,2024-02-29 00:00:00.0000000,2024-03-02 00:00:00.0000000,2024-03-01 00:00:00.0000000,1,2,1,-1
m_29b897d103,2024-01-16 00:00:00.0000000,2024-01-18 00:00:00.0000000,NULL,0,2,NULL,NULL
m_29ca273889,2024-01-29 00:00:00.0000000,2024-01-31 00:00:00.0000000,2024-02-07 00:00:00.0000000,1,2,9,7
m_29df738521,2024-01-27 00:00:00.0000000,2024-01-29 00:00:00.0000000,2024-02-03 00:00:00.0000000,1,2,7,5
m_29e61588b7,2024-02-27 00:00:00.0000000,2024-02-29 00:00:00.0000000,NULL,0,2,NULL,NULL
m_29fa4af120,2024-01-19 00:00:00.0000000,2024-01-21 00:00:00.0000000,2024-01-26 00:00:00.0000000,1,2,7,5
m_2a175d8d78,2024-02-18 00:00:00.0000000,2024-02-20 00:00:00.0000000,NULL,0,2,NULL,NULL
m_2a42374400,2024-01-15 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_2a6875be31,2024-01-05 00:00:00.0000000,2024-01-07 00:00:00.0000000,NULL,0,2,NULL,NULL
m_2a68de4044,2024-01-01 00:00:00.0000000,2024-01-03 00:00:00.0000000,NULL,0,2,NULL,NULL
m_2a858ab930,2024-01-01 00:00:00.0000000,2024-01-03 00:00:00.0000000,NULL,0,2,NULL,NULL
m_2ad89f07ee,2024-01-20 00:00:00.0000000,2024-01-22 00:00:00.0000000,NULL,0,2,NULL,NULL
m_2b65e6087c,2024-02-07 00:00:00.0000000,2024-02-09 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,21,19
m_2b87c6392f,2024-02-09 00:00:00.0000000,2024-02-11 00:00:00.0000000,2024-02-27 00:00:00.0000000,1,2,18,16
m_2b9796bc3e,2024-01-30 00:00:00.0000000,2024-02-01 00:00:00.0000000,NULL,0,2,NULL,NULL
m_2bb400aae8,2024-02-09 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_2c2abcfbc3,2024-02-10 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_2c6488de0f,2024-01-02 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_2c89fbd79c,2024-02-27 00:00:00.0000000,2024-02-29 00:00:00.0000000,2024-02-29 00:00:00.0000000,1,2,2,0
m_2c8bcd4117,2024-01-20 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_2c92260fe0,2024-01-16 00:00:00.0000000,2024-01-18 00:00:00.0000000,NULL,0,2,NULL,NULL
m_2d3153137d,2024-02-04 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_2d480b2df9,2024-02-27 00:00:00.0000000,2024-02-29 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,1,-1
m_2e0c794d1b,2024-02-27 00:00:00.0000000,2024-02-29 00:00:00.0000000,2024-02-29 00:00:00.0000000,1,2,2,0
m_2f7a70c46a,2024-01-12 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_2f8ab40765,2024-01-29 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_2fc28d4a6b,2024-01-29 00:00:00.0000000,2024-01-31 00:00:00.0000000,2024-02-17 00:00:00.0000000,1,2,19,17
m_2ff40be70a,2024-01-14 00:00:00.0000000,2024-01-16 00:00:00.0000000,2024-01-26 00:00:00.0000000,1,2,12,10
m_30315e8abb,2024-02-06 00:00:00.0000000,2024-02-08 00:00:00.0000000,2024-02-22 00:00:00.0000000,1,2,16,14
m_3095be967f,2024-02-04 00:00:00.0000000,2024-02-06 00:00:00.0000000,2024-02-19 00:00:00.0000000,1,2,15,13
m_3098bbde3c,2024-02-24 00:00:00.0000000,2024-02-26 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,4,2
m_309a636592,2024-02-20 00:00:00.0000000,2024-02-22 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,8,6
m_31822b607b,2024-01-02 00:00:00.0000000,2024-01-04 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,57,55
m_32132e463f,2024-02-26 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_321414b094,2024-01-22 00:00:00.0000000,2024-01-24 00:00:00.0000000,2024-02-05 00:00:00.0000000,1,2,14,12
m_32922f97ae,2024-02-21 00:00:00.0000000,2024-02-23 00:00:00.0000000,NULL,0,2,NULL,NULL
m_32b096247f,2024-01-30 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_32f5ca7323,2024-02-27 00:00:00.0000000,2024-02-29 00:00:00.0000000,NULL,0,2,NULL,NULL
m_3343cdeae1,2024-02-14 00:00:00.0000000,2024-02-16 00:00:00.0000000,2024-02-27 00:00:00.0000000,1,2,13,11
m_334e0f5f03,2024-02-19 00:00:00.0000000,2024-02-21 00:00:00.0000000,NULL,0,2,NULL,NULL
m_3372dbb15a,2024-02-23 00:00:00.0000000,2024-02-25 00:00:00.0000000,2024-02-29 00:00:00.0000000,1,2,6,4
m_34538315ca,2024-02-22 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_347e686f04,2024-01-26 00:00:00.0000000,2024-01-28 00:00:00.0000000,NULL,0,2,NULL,NULL
m_350fc21058,2024-01-29 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_352ea48c17,2024-01-16 00:00:00.0000000,2024-01-18 00:00:00.0000000,NULL,0,2,NULL,NULL
m_35ab80bd91,2024-02-21 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_35c27054bf,2024-02-18 00:00:00.0000000,2024-02-20 00:00:00.0000000,2024-03-03 00:00:00.0000000,1,2,14,12
m_366f98eda7,2024-01-26 00:00:00.0000000,2024-01-28 00:00:00.0000000,2024-02-04 00:00:00.0000000,1,2,9,7
m_3679ad302c,2024-01-25 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_367f3691ac,2024-01-27 00:00:00.0000000,2024-01-29 00:00:00.0000000,NULL,0,2,NULL,NULL
m_368052d2a8,2024-02-21 00:00:00.0000000,2024-02-23 00:00:00.0000000,NULL,0,2,NULL,NULL
m_36ab1e818f,2024-01-24 00:00:00.0000000,2024-01-26 00:00:00.0000000,2024-02-02 00:00:00.0000000,1,2,9,7
m_372504a9f0,2024-01-28 00:00:00.0000000,2024-01-30 00:00:00.0000000,2024-02-04 00:00:00.0000000,1,2,7,5
m_3730742521,2024-02-20 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_381a368a84,2024-01-13 00:00:00.0000000,2024-01-15 00:00:00.0000000,NULL,0,2,NULL,NULL
m_3829da0d98,2024-01-12 00:00:00.0000000,2024-01-14 00:00:00.0000000,2024-01-22 00:00:00.0000000,1,2,10,8
m_387b7e1774,2024-02-08 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_39442e0896,2024-02-08 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_396983a155,2024-02-03 00:00:00.0000000,2024-02-05 00:00:00.0000000,NULL,0,2,NULL,NULL
m_3a0b2655c2,2024-02-11 00:00:00.0000000,2024-02-13 00:00:00.0000000,2024-02-19 00:00:00.0000000,1,2,8,6
m_3a67f3c3c3,2024-02-10 00:00:00.0000000,2024-02-12 00:00:00.0000000,2024-02-26 00:00:00.0000000,1,2,16,14
m_3a6d428fd4,2024-02-18 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_3a9024559f,2024-01-08 00:00:00.0000000,2024-01-10 00:00:00.0000000,2024-01-16 00:00:00.0000000,1,2,8,6
m_3add94cc04,2024-02-22 00:00:00.0000000,2024-02-24 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,6,4
m_3b6f5e7ab7,2024-01-18 00:00:00.0000000,2024-01-20 00:00:00.0000000,2024-02-04 00:00:00.0000000,1,2,17,15
m_3b987f526e,2024-01-27 00:00:00.0000000,2024-01-29 00:00:00.0000000,2024-02-13 00:00:00.0000000,1,2,17,15
m_3ba995f686,2024-01-13 00:00:00.0000000,2024-01-15 00:00:00.0000000,2024-01-28 00:00:00.0000000,1,2,15,13
m_3bbc480854,2024-01-09 00:00:00.0000000,2024-01-11 00:00:00.0000000,2024-01-22 00:00:00.0000000,1,2,13,11
m_3bc40babf3,2024-01-23 00:00:00.0000000,2024-01-25 00:00:00.0000000,2024-02-05 00:00:00.0000000,1,2,13,11
m_3c362258df,2024-01-06 00:00:00.0000000,2024-01-08 00:00:00.0000000,NULL,0,2,NULL,NULL
m_3cb6e46fca,2024-02-18 00:00:00.0000000,2024-02-20 00:00:00.0000000,NULL,0,2,NULL,NULL
m_3cbccdfbe2,2024-02-05 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_3dce738f35,2024-01-05 00:00:00.0000000,2024-01-07 00:00:00.0000000,2024-01-21 00:00:00.0000000,1,2,16,14
m_3deb32890d,2024-01-08 00:00:00.0000000,2024-01-10 00:00:00.0000000,NULL,0,2,NULL,NULL
m_3ecc19e3b6,2024-01-14 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_3ef8f43c97,2024-02-29 00:00:00.0000000,2024-03-02 00:00:00.0000000,2024-02-29 00:00:00.0000000,1,2,0,-2
m_3f59691769,2024-01-28 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_3fcfb21713,2024-01-03 00:00:00.0000000,2024-01-05 00:00:00.0000000,NULL,0,2,NULL,NULL
m_3ff0ec631c,2024-02-09 00:00:00.0000000,2024-02-11 00:00:00.0000000,2024-02-18 00:00:00.0000000,1,2,9,7
m_4034dcb50a,2024-02-20 00:00:00.0000000,2024-02-22 00:00:00.0000000,NULL,0,2,NULL,NULL
m_4053ee70a0,2024-02-11 00:00:00.0000000,2024-02-13 00:00:00.0000000,2024-02-28 00:00:00.0000000,1,2,17,15
m_40f0ac96eb,2024-01-23 00:00:00.0000000,2024-01-25 00:00:00.0000000,2024-02-02 00:00:00.0000000,1,2,10,8
m_41c16c2f71,2024-01-17 00:00:00.0000000,2024-01-19 00:00:00.0000000,NULL,0,2,NULL,NULL
m_41edae325c,2024-01-08 00:00:00.0000000,2024-01-10 00:00:00.0000000,NULL,0,2,NULL,NULL
m_42df7df586,2024-01-29 00:00:00.0000000,2024-01-31 00:00:00.0000000,NULL,0,2,NULL,NULL
m_434fc9b1fd,2024-01-29 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_436b89fbb7,2024-02-29 00:00:00.0000000,2024-03-02 00:00:00.0000000,NULL,0,2,NULL,NULL
m_437cf27b48,2024-02-09 00:00:00.0000000,2024-02-11 00:00:00.0000000,2024-02-19 00:00:00.0000000,1,2,10,8
m_43e41877e5,2024-01-09 00:00:00.0000000,2024-01-11 00:00:00.0000000,2024-01-16 00:00:00.0000000,1,2,7,5
m_442afafa89,2024-01-07 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_442afe6b8b,2024-01-20 00:00:00.0000000,2024-01-22 00:00:00.0000000,NULL,0,2,NULL,NULL
m_46206c3e66,2024-01-24 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_471a369034,2024-01-24 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
m_476fd597f6,2024-01-07 00:00:00.0000000,2024-01-09 00:00:00.0000000,2024-01-25 00:00:00.0000000,1,2,18,16
m_477c7bf1cb,2024-02-26 00:00:00.0000000,2024-02-28 00:00:00.0000000,NULL,0,2,NULL,NULL
m_47879f784c,2024-01-21 00:00:00.0000000,NULL,NULL,0,NULL,NULL,NULL
