transaction_id,merchant_id,transaction_timestamp,environment,status,amount,currency,payment_method,failure_reason
t_0025d88f62ed,m_43e41877e5,2024-01-16 00:00:00.0000000,LIVE,SUCCESS,33346.00,NGN,bank,NULL
t_0026028ac4bf,m_89aba4b8a9,2024-02-27 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_002753655298,m_2988f6eef7,2024-03-03 00:00:00.0000000,LIVE,SUCCESS,76078.00,NGN,bank,NULL
t_00296ebe07e1,m_3bbc480854,2024-01-11 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_002978a56237,m_9fd2c103fb,2024-03-17 00:00:00.0000000,LIVE,SUCCESS,68162.00,NGN,bank,NULL
t_0029eb9946c4,m_29ca273889,2024-09-05 00:00:00.0000000,LIVE,SUCCESS,77328.00,NGN,ussd,NULL
t_002d21849ccb,m_5e7799257d,2024-03-20 00:00:00.0000000,LIVE,SUCCESS,15300.00,NGN,ussd,NULL
t_002f06316cda,m_9dafa16a2f,2024-04-18 00:00:00.0000000,LIVE,SUCCESS,59265.00,NGN,bank,NULL
t_003090debc04,m_cfaad15ce5,2024-04-14 00:00:00.0000000,LIVE,SUCCESS,19645.00,NGN,ussd,NULL
t_003196f8b6ea,m_865d3bb2d5,2024-02-17 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00337c93b43b,m_476fd597f6,2024-01-16 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_0038826a48a7,m_d0c2795faa,2024-01-23 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_0039e4e40b6c,m_66d24572cc,2024-04-13 00:00:00.0000000,LIVE,SUCCESS,61717.00,NGN,card,NULL
t_003dfcbce0ad,m_edfe8aac84,2024-04-08 00:00:00.0000000,LIVE,SUCCESS,22498.00,NGN,ussd,NULL
t_00412b64aadb,m_347e686f04,2024-02-07 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00423d22ea43,m_edfe8aac84,2024-08-01 00:00:00.0000000,LIVE,SUCCESS,60248.00,NGN,ussd,NULL
t_0042a559bb0c,m_17043e6f5b,2024-03-26 00:00:00.0000000,LIVE,SUCCESS,64559.00,NGN,card,NULL
t_004460182c4e,m_e40d65ded4,2024-04-18 00:00:00.0000000,LIVE,SUCCESS,59632.00,NGN,card,NULL
t_0046da5ade5e,m_9112550cdc,2024-03-17 00:00:00.0000000,LIVE,SUCCESS,25003.00,NGN,card,NULL
t_0048ca53b0eb,m_aef8f92b52,2024-04-09 00:00:00.0000000,LIVE,SUCCESS,36846.00,NGN,ussd,NULL
t_004d4e75ab82,m_65c3e0b150,2024-06-21 00:00:00.0000000,LIVE,SUCCESS,49475.00,NGN,card,NULL
t_004e26fa3a63,m_29ca273889,2024-03-01 00:00:00.0000000,LIVE,SUCCESS,21184.00,NGN,bank,NULL
t_004f9e59b127,m_3a67f3c3c3,2024-04-18 00:00:00.0000000,LIVE,SUCCESS,7189.00,NGN,ussd,NULL
t_0057235d8cbd,m_da065a694d,2024-03-13 00:00:00.0000000,LIVE,SUCCESS,49646.00,NGN,bank,NULL
t_00595558ef99,m_7b0b332148,2024-05-02 00:00:00.0000000,LIVE,SUCCESS,30273.00,NGN,card,NULL
t_005d43678afa,m_045d08bf26,2024-02-08 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_005e423c7525,m_729489e917,2024-05-01 00:00:00.0000000,LIVE,SUCCESS,35776.00,NGN,card,NULL
t_00611d13487a,m_1a2b51f33c,2024-03-23 00:00:00.0000000,LIVE,SUCCESS,46477.00,NGN,card,NULL
t_0061e0abd56c,m_af105d17e0,2024-03-06 00:00:00.0000000,LIVE,SUCCESS,8703.00,NGN,bank,NULL
t_0062ebf14a70,m_045d08bf26,2024-05-19 00:00:00.0000000,LIVE,SUCCESS,50937.00,NGN,bank,NULL
t_00632881fa61,m_5817aa64f6,2024-04-04 00:00:00.0000000,LIVE,SUCCESS,47320.00,NGN,card,NULL
t_0069456f368a,m_66e80bba52,2024-05-01 00:00:00.0000000,LIVE,SUCCESS,12286.00,NGN,card,NULL
t_00697c2ac1a5,m_64355aa980,2024-03-12 00:00:00.0000000,LIVE,SUCCESS,4274.00,NGN,ussd,NULL
t_006a570da53a,m_29ca273889,2024-07-13 00:00:00.0000000,LIVE,SUCCESS,65814.00,NGN,ussd,NULL
t_006ca96ca7e9,m_f969e9850d,2024-04-16 00:00:00.0000000,LIVE,SUCCESS,72333.00,NGN,ussd,NULL
t_006e870fd73c,m_75d0daff2b,2024-04-18 00:00:00.0000000,LIVE,SUCCESS,46180.00,NGN,card,NULL
t_006ea3a1177a,m_1a2b51f33c,2024-03-24 00:00:00.0000000,LIVE,SUCCESS,49529.00,NGN,ussd,NULL
t_00767ddf4f63,m_e017c65d68,2024-01-25 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_007d198ba2ad,m_570ff787b5,2024-05-13 00:00:00.0000000,LIVE,SUCCESS,67327.00,NGN,bank,NULL
t_00832f353ae5,m_b97ad0826f,2024-03-17 00:00:00.0000000,LIVE,SUCCESS,42582.00,NGN,card,NULL
t_0086fe28f6f9,m_a4de45f48a,2024-05-08 00:00:00.0000000,LIVE,SUCCESS,2899.00,NGN,ussd,NULL
t_00875e31861e,m_1c52d68aa6,2024-02-28 00:00:00.0000000,LIVE,SUCCESS,36843.00,NGN,card,NULL
t_00881901946a,m_aebad89e92,2024-01-28 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_008997514d64,m_9934f53be6,2024-04-07 00:00:00.0000000,LIVE,SUCCESS,65556.00,NGN,ussd,NULL
t_008b1b140b00,m_81efeda3e4,2024-03-06 00:00:00.0000000,LIVE,SUCCESS,40463.00,NGN,card,NULL
t_008da35ae433,m_c0ddf20c04,2024-04-16 00:00:00.0000000,LIVE,SUCCESS,67865.00,NGN,bank,NULL
t_00949dc93aa1,m_91f24ed4ef,2024-01-05 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_009778068163,m_217d21793a,2024-03-05 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_009b431a0211,m_7902fd912b,2024-02-28 00:00:00.0000000,LIVE,SUCCESS,33613.00,NGN,bank,NULL
t_009de8bd59c4,m_a4de45f48a,2024-04-07 00:00:00.0000000,LIVE,SUCCESS,55982.00,NGN,card,NULL
t_009e55cfc1fc,m_65c3e0b150,2024-07-15 00:00:00.0000000,LIVE,SUCCESS,15698.00,NGN,bank,NULL
t_00a0679d83e4,m_72932eece9,2024-04-29 00:00:00.0000000,LIVE,SUCCESS,10146.00,NGN,ussd,NULL
t_00a122b2f761,m_81efeda3e4,2024-03-26 00:00:00.0000000,LIVE,SUCCESS,31237.00,NGN,card,NULL
t_00a447e8f3b7,m_a4de45f48a,2024-06-04 00:00:00.0000000,LIVE,SUCCESS,8243.00,NGN,ussd,NULL
t_00a7e7f295bd,m_17210dcac4,2024-03-05 00:00:00.0000000,LIVE,SUCCESS,7505.00,NGN,card,NULL
t_00a949418be5,m_8ae2078642,2024-03-19 00:00:00.0000000,LIVE,SUCCESS,23767.00,NGN,card,NULL
t_00ac6a2e90a9,m_fe5fc2e5e8,2024-05-02 00:00:00.0000000,LIVE,SUCCESS,77993.00,NGN,bank,NULL
t_00ac6e85b68a,m_72932eece9,2024-04-27 00:00:00.0000000,LIVE,SUCCESS,12619.00,NGN,ussd,NULL
t_00ae22665ca0,m_66d24572cc,2024-07-03 00:00:00.0000000,LIVE,SUCCESS,22666.00,NGN,bank,NULL
t_00b1fe6b540d,m_9934f53be6,2024-05-19 00:00:00.0000000,LIVE,SUCCESS,46867.00,NGN,bank,NULL
t_00b28c9667c0,m_9112550cdc,2024-03-28 00:00:00.0000000,LIVE,SUCCESS,17432.00,NGN,bank,NULL
t_00bc1c92debb,m_7b4d7a2894,2024-02-22 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00bc25fc7aa9,m_045d08bf26,2024-03-14 00:00:00.0000000,LIVE,SUCCESS,20127.00,NGN,card,NULL
t_00bcc9e3638e,m_29df738521,2024-03-08 00:00:00.0000000,LIVE,SUCCESS,32875.00,NGN,card,NULL
t_00bce70446a6,m_5817aa64f6,2024-03-15 00:00:00.0000000,LIVE,SUCCESS,5679.00,NGN,card,NULL
t_00bda1ac9940,m_9dafa16a2f,2024-04-12 00:00:00.0000000,LIVE,SUCCESS,26932.00,NGN,card,NULL
t_00beb493874b,m_0a33294aa4,2024-04-17 00:00:00.0000000,LIVE,SUCCESS,76310.00,NGN,bank,NULL
t_00c1fd7cb97c,m_e40d65ded4,2024-03-11 00:00:00.0000000,LIVE,SUCCESS,37393.00,NGN,bank,NULL
t_00c2ddbdaa24,m_075e13f3a4,2024-02-27 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00c602a52133,m_2b9796bc3e,2024-02-04 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00c648ae4ff0,m_12872df906,2024-01-24 00:00:00.0000000,LIVE,SUCCESS,47166.00,NGN,ussd,NULL
t_00c88b269a5b,m_f969e9850d,2024-03-05 00:00:00.0000000,LIVE,SUCCESS,43598.00,NGN,bank,NULL
t_00c9b03f6ae5,m_1a2b51f33c,2024-06-21 00:00:00.0000000,LIVE,SUCCESS,65332.00,NGN,card,NULL
t_00cad86e37f7,m_779132a7ec,2024-02-28 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00cc18a458f3,m_c4a6136686,2024-03-15 00:00:00.0000000,LIVE,SUCCESS,57419.00,NGN,bank,NULL
t_00cde30bc624,m_4cb0ef01fc,2024-02-28 00:00:00.0000000,LIVE,SUCCESS,64514.00,NGN,bank,NULL
t_00ced4eaef86,m_cfaad15ce5,2024-04-11 00:00:00.0000000,LIVE,SUCCESS,41883.00,NGN,card,NULL
t_00d0f995107d,m_8da4c18fe0,2024-03-04 00:00:00.0000000,LIVE,SUCCESS,37689.00,NGN,ussd,NULL
t_00d408b68fa7,m_53e1cf17dd,2024-03-25 00:00:00.0000000,LIVE,SUCCESS,61179.00,NGN,ussd,NULL
t_00d6bbfca04f,m_a2e3907623,2024-03-07 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00dedce5c770,m_b77ed03293,2024-02-15 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00dfcd9575a2,m_755abd5e8d,2024-01-21 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00e498cc5fec,m_66e80bba52,2024-03-09 00:00:00.0000000,LIVE,SUCCESS,34759.00,NGN,bank,NULL
t_00e4a339f8d1,m_b661bb9370,2024-02-15 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00e6accceb45,m_d99f6e6fb3,2024-02-14 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00eb0fda0090,m_7ddddf7c98,2024-01-30 00:00:00.0000000,LIVE,SUCCESS,9888.00,NGN,card,NULL
t_00f0c0be3ae6,m_b97ad0826f,2024-02-01 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00f11ff00058,m_88a3907415,2024-01-26 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00f41dee850a,m_b97ad0826f,2024-01-22 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00facddddd59,m_b2800c20f2,2024-02-11 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_00fdc5de4985,m_c0ddf20c04,2024-02-29 00:00:00.0000000,LIVE,SUCCESS,32173.00,NGN,bank,NULL
t_010163db4c61,m_309a636592,2024-04-11 00:00:00.0000000,LIVE,SUCCESS,41300.00,NGN,card,NULL
t_010181fcec6b,m_f5bff98523,2024-03-24 00:00:00.0000000,LIVE,SUCCESS,21006.00,NGN,card,NULL
t_010429b20533,m_29ca273889,2024-10-03 00:00:00.0000000,LIVE,SUCCESS,18244.00,NGN,bank,NULL
t_01076f1ddf53,m_1ac3590983,2024-02-11 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_010bae98b816,m_29ca273889,2024-04-23 00:00:00.0000000,LIVE,SUCCESS,57167.00,NGN,card,NULL
t_01158d8f4e14,m_0cd31d704f,2024-02-10 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_011b1ad39593,m_cde0e25b7a,2024-01-25 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_011b466f9b6c,m_7e882ba60b,2024-02-28 00:00:00.0000000,LIVE,SUCCESS,67298.00,NGN,bank,NULL
t_011e057559d6,m_a8abebb787,2024-03-01 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_011ecf66b037,m_c741fbba85,2024-03-07 00:00:00.0000000,LIVE,SUCCESS,52029.00,NGN,card,NULL
t_01205824254f,m_22b9004798,2024-03-13 00:00:00.0000000,LIVE,SUCCESS,71453.00,NGN,ussd,NULL
t_01270dbd4d59,m_43e41877e5,2024-05-19 00:00:00.0000000,LIVE,SUCCESS,52969.00,NGN,card,NULL
t_01275c48202f,m_1c52d68aa6,2024-04-05 00:00:00.0000000,LIVE,SUCCESS,4303.00,NGN,ussd,NULL
t_0127de73fc31,m_02f4599a40,2024-09-12 00:00:00.0000000,LIVE,SUCCESS,78255.00,NGN,card,NULL
t_012ac52de964,m_ae0b139f35,2024-02-26 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_012b26a2a956,m_5817aa64f6,2024-02-20 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_0131e982da32,m_6c0824bcc8,2024-02-15 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_0133de91841e,m_17043e6f5b,2024-03-11 00:00:00.0000000,LIVE,SUCCESS,27491.00,NGN,card,NULL
t_013595c704f5,m_3fcfb21713,2024-01-08 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_01387a28b466,m_4cb0ef01fc,2024-03-09 00:00:00.0000000,LIVE,SUCCESS,28656.00,NGN,ussd,NULL
t_013b6a61ffd3,m_7e882ba60b,2024-02-29 00:00:00.0000000,LIVE,SUCCESS,4871.00,NGN,card,NULL
t_013cb5d63770,m_f6132644ff,2024-04-07 00:00:00.0000000,LIVE,SUCCESS,27989.00,NGN,card,NULL
t_013e239ff4ab,m_29ca273889,2024-06-21 00:00:00.0000000,LIVE,SUCCESS,20872.00,NGN,bank,NULL
t_01488d6427e8,m_afc8dce618,2024-04-03 00:00:00.0000000,LIVE,SUCCESS,24440.00,NGN,bank,NULL
t_01517803db5b,m_80a272248c,2024-03-07 00:00:00.0000000,LIVE,SUCCESS,39064.00,NGN,bank,NULL
t_01573cfeb38a,m_f5bff98523,2024-05-04 00:00:00.0000000,LIVE,SUCCESS,11334.00,NGN,bank,NULL
t_015deda39782,m_81efeda3e4,2024-06-20 00:00:00.0000000,LIVE,SUCCESS,53697.00,NGN,bank,NULL
t_015eca67917e,m_87be9b1af6,2024-02-18 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_0160093b8821,m_65c3e0b150,2024-04-09 00:00:00.0000000,LIVE,SUCCESS,15057.00,NGN,ussd,NULL
t_0160dc1593fb,m_f5bff98523,2024-02-19 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_016789104d17,m_23584e377a,2024-03-01 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_0167d446ae28,m_06e4d0ee44,2024-04-11 00:00:00.0000000,LIVE,SUCCESS,55760.00,NGN,bank,NULL
t_0168739e5cbe,m_fc00d0aae3,2024-02-13 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_016b5eb61d16,m_28a4e23781,2024-01-24 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_016d54c9c380,m_36ab1e818f,2024-05-07 00:00:00.0000000,LIVE,SUCCESS,25036.00,NGN,card,NULL
t_016e3fc37d5e,m_29df738521,2024-05-01 00:00:00.0000000,LIVE,SUCCESS,38764.00,NGN,bank,NULL
t_0171368d5ca4,m_80a272248c,2024-03-27 00:00:00.0000000,LIVE,SUCCESS,27602.00,NGN,card,NULL
t_0174ddfb4ee0,m_c741fbba85,2024-04-21 00:00:00.0000000,LIVE,SUCCESS,20155.00,NGN,bank,NULL
t_01772ef8b87c,m_652a7e8a8f,2024-02-06 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_0179bb786581,m_067751ce34,2024-01-18 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_01823f41f6ad,m_e40d65ded4,2024-04-03 00:00:00.0000000,LIVE,SUCCESS,14363.00,NGN,bank,NULL
t_01832234b65c,m_9112550cdc,2024-03-03 00:00:00.0000000,LIVE,SUCCESS,60024.00,NGN,bank,NULL
t_01842d6ff0a8,m_729489e917,2024-02-03 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_018988ec4aef,m_06e4d0ee44,2024-05-12 00:00:00.0000000,LIVE,SUCCESS,10728.00,NGN,card,NULL
t_018f7adfe38e,m_a23a270283,2024-02-07 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_019018395ed0,m_afc8dce618,2024-04-24 00:00:00.0000000,LIVE,SUCCESS,7355.00,NGN,ussd,NULL
t_019602bf2323,m_17210dcac4,2024-03-18 00:00:00.0000000,LIVE,SUCCESS,30268.00,NGN,bank,NULL
t_01962a7a6e58,m_3ff0ec631c,2024-02-12 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_01986b915594,m_962a79c87c,2024-01-13 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_019d840048e5,m_5af252200c,2024-08-17 00:00:00.0000000,LIVE,SUCCESS,14105.00,NGN,bank,NULL
t_019fafbdfdfc,m_184699b8c1,2024-03-21 00:00:00.0000000,LIVE,SUCCESS,68138.00,NGN,card,NULL
t_019fecf7899b,m_b953dac151,2024-04-20 00:00:00.0000000,LIVE,SUCCESS,32666.00,NGN,card,NULL
t_01a0a0255b7f,m_85083dd0f0,2024-04-08 00:00:00.0000000,LIVE,SUCCESS,45037.00,NGN,card,NULL
t_01a279e02cdf,m_2ad89f07ee,2024-01-23 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_01a2a422c873,m_510e9da692,2024-05-01 00:00:00.0000000,LIVE,SUCCESS,77874.00,NGN,ussd,NULL
t_01a630747f7b,m_990a8f98b1,2024-03-15 00:00:00.0000000,LIVE,SUCCESS,44150.00,NGN,bank,NULL
t_01b194d57ed2,m_afc8dce618,2024-03-01 00:00:00.0000000,LIVE,SUCCESS,50511.00,NGN,bank,NULL
t_01b1ee75975a,m_c39ad39100,2024-05-04 00:00:00.0000000,LIVE,SUCCESS,14237.00,NGN,bank,NULL
t_01b2c46221b5,m_7b4d7a2894,2024-04-03 00:00:00.0000000,LIVE,SUCCESS,59889.00,NGN,bank,NULL
t_01b6e22a96e0,m_7b0b332148,2024-02-20 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_01b87c317e4e,m_d0c2795faa,2024-01-24 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_01b8e23d9c90,m_fea0706a29,2024-01-24 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_01bbc4a9bf17,m_075e13f3a4,2024-02-26 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_01bf2daf739a,m_0a33294aa4,2024-02-29 00:00:00.0000000,LIVE,SUCCESS,16332.00,NGN,bank,NULL
t_01c297425fc2,m_9934f53be6,2024-04-18 00:00:00.0000000,LIVE,SUCCESS,48993.00,NGN,ussd,NULL
t_01c46f45a3c7,m_43e41877e5,2024-03-14 00:00:00.0000000,LIVE,SUCCESS,53818.00,NGN,card,NULL
t_01c6cee23bda,m_4053ee70a0,2024-03-19 00:00:00.0000000,LIVE,SUCCESS,13123.00,NGN,bank,NULL
t_01c7485abc3d,m_63f3a7cfaa,2024-05-19 00:00:00.0000000,LIVE,SUCCESS,58561.00,NGN,ussd,NULL
t_01c7ea95f175,m_cfaad15ce5,2024-04-11 00:00:00.0000000,LIVE,SUCCESS,12911.00,NGN,ussd,NULL
t_01c9d543ecba,m_bbca084bbc,2024-02-28 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_01ca7689b66a,m_c4a0a4c100,2024-03-02 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_01cbfc2edfa6,m_955ef28d6b,2024-03-05 00:00:00.0000000,LIVE,SUCCESS,31778.00,NGN,bank,NULL
t_01cec16017bc,m_8ea0fd18f2,2024-04-20 00:00:00.0000000,LIVE,SUCCESS,26646.00,NGN,bank,NULL
t_01d17db752cd,m_66d24572cc,2024-04-10 00:00:00.0000000,LIVE,SUCCESS,2586.00,NGN,card,NULL
t_01d221eb5287,m_e6b154ec9c,2024-03-28 00:00:00.0000000,LIVE,SUCCESS,50379.00,NGN,card,NULL
t_01d526f86917,m_df864e5208,2024-04-15 00:00:00.0000000,LIVE,SUCCESS,39346.00,NGN,bank,NULL
t_01d64be784d2,m_3343cdeae1,2024-03-15 00:00:00.0000000,LIVE,SUCCESS,47510.00,NGN,ussd,NULL
t_01d7f5dacfd0,m_b953dac151,2024-03-11 00:00:00.0000000,LIVE,SUCCESS,35370.00,NGN,bank,NULL
t_01d89c4cef47,m_40f0ac96eb,2024-03-30 00:00:00.0000000,LIVE,SUCCESS,46374.00,NGN,card,NULL
t_01d992d8a22c,m_29ca273889,2024-06-06 00:00:00.0000000,LIVE,SUCCESS,41821.00,NGN,card,NULL
t_01df58755b55,m_b3b2c91d06,2024-03-20 00:00:00.0000000,LIVE,SUCCESS,55955.00,NGN,ussd,NULL
t_01ea2f7d6056,m_4053ee70a0,2024-04-07 00:00:00.0000000,LIVE,SUCCESS,33174.00,NGN,card,NULL
t_01eb0bd13e47,m_a7948f41f1,2024-03-08 00:00:00.0000000,LIVE,SUCCESS,13552.00,NGN,card,NULL
t_01f4d8012ee9,m_e8b8ab65d3,2024-03-21 00:00:00.0000000,LIVE,SUCCESS,48996.00,NGN,ussd,NULL
t_01f5a1169437,m_9112550cdc,2024-04-26 00:00:00.0000000,LIVE,SUCCESS,48007.00,NGN,card,NULL
t_01f6d01c09fa,m_b8cc216520,2024-02-03 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_01f8f9ee04b4,m_b953dac151,2024-03-24 00:00:00.0000000,LIVE,SUCCESS,16859.00,NGN,bank,NULL
t_01f9a99353ca,m_3098bbde3c,2024-03-01 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_01feebf636c9,m_0a33294aa4,2024-03-17 00:00:00.0000000,LIVE,SUCCESS,72854.00,NGN,card,NULL
t_01ffe6570ea0,m_29ca273889,2024-08-26 00:00:00.0000000,LIVE,SUCCESS,24240.00,NGN,card,NULL
t_0201d3479fe0,m_cfaad15ce5,2024-04-01 00:00:00.0000000,LIVE,SUCCESS,30080.00,NGN,bank,NULL
t_02022b025f45,m_29ca273889,2024-09-08 00:00:00.0000000,LIVE,SUCCESS,15011.00,NGN,bank,NULL
t_0206a1397c5c,m_8427c1f366,2024-01-28 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_020952f9aa5c,m_1169f936bb,2024-04-02 00:00:00.0000000,LIVE,SUCCESS,10199.00,NGN,card,NULL
t_020c41e13438,m_70285871e0,2024-03-02 00:00:00.0000000,LIVE,SUCCESS,67064.00,NGN,ussd,NULL
t_020db39341f8,m_6aed2f1bc2,2024-04-05 00:00:00.0000000,LIVE,SUCCESS,53750.00,NGN,ussd,NULL
t_0216fa1fe671,m_8e03759679,2024-02-20 00:00:00.0000000,TEST,SUCCESS,0.00,NGN,card,NULL
t_021ade48c4f0,m_66e80bba52,2024-03-14 00:00:00.0000000,LIVE,SUCCESS,29154.00,NGN,bank,NULL
t_021c0abd67df,m_c741fbba85,2024-03-15 00:00:00.0000000,LIVE,SUCCESS,37968.00,NGN,card,NULL
t_021c78cad6e6,m_36ab1e818f,2024-05-10 00:00:00.0000000,LIVE,SUCCESS,47766.00,NGN,ussd,NULL
t_022b923435bb,m_d2864589de,2024-06-29 00:00:00.0000000,LIVE,SUCCESS,26434.00,NGN,ussd,NULL
t_022baa049342,m_02f4599a40,2024-04-02 00:00:00.0000000,LIVE,SUCCESS,62293.00,NGN,card,NULL
t_022dbaa7e05f,m_990a8f98b1,2024-07-14 00:00:00.0000000,LIVE,SUCCESS,3698.00,NGN,bank,NULL
